ID,Age,Education,Marital_Status,Income,Spending,Dt_Customer,Recency,Date_of_Last_Purchase,Customer_Tenure,Has_child,Children,Wines,Fruits,Meat,Fish,Sweets,Gold,Cluster_x,Cluster_y
8595,41,Postgraduate,Alone,42429,67,11-02-2014,99,27-06-2014,4.533333333,Has child,1 child,55,0,6,2,0,4,Need Attention,Need Attention
2968,71,Postgraduate,Alone,48948,902,01-02-2013,53,12-08-2014,18.56666667,No child,No child,437,8,206,160,49,42,Stars,Stars
8601,34,Postgraduate,In couple,80011,1395,29-04-2013,3,01-10-2014,17.33333333,Has child,1 child,421,76,536,82,178,102,Stars,Stars
503,29,Postgraduate,In couple,20559,53,12-03-2013,88,08-07-2014,16.1,Has child,1 child,13,1,29,3,0,7,Leaky Bucket,Leaky Bucket
8430,57,Postgraduate,In couple,21994,22,24-12-2012,4,30-09-2014,21.5,Has child,1 child,9,0,6,3,1,3,Leaky Bucket,Leaky Bucket
2139,39,Postgraduate,In couple,7500,31,02-10-2013,19,15-09-2014,11.6,Has child,1 child,3,1,10,3,2,12,Need Attention,Need Attention
1371,38,Postgraduate,Alone,79941,984,28-06-2014,72,24-07-2014,0.866666667,No child,No child,123,164,266,227,30,174,High Potential,High Potential
9909,18,Undergraduate,In couple,7500,122,09-11-2012,24,10-09-2014,22.33333333,No child,No child,3,18,14,15,22,50,Leaky Bucket,Leaky Bucket
7286,46,Postgraduate,In couple,41728,55,24-05-2013,92,04-07-2014,13.53333333,Has child,1 child,13,6,15,3,5,13,Leaky Bucket,Leaky Bucket
6566,60,Postgraduate,In couple,72550,1319,08-11-2012,39,26-08-2014,21.86666667,Has child,2 children,826,50,317,50,38,38,Stars,Stars
8614,57,Postgraduate,Alone,65486,507,12-05-2014,29,05-09-2014,3.866666667,Has child,1 child,245,19,125,37,67,14,High Potential,High Potential
4114,50,Postgraduate,In couple,79143,1693,11-08-2012,2,02-10-2014,26.06666667,No child,No child,650,37,780,27,167,32,Stars,Stars
1331,37,Postgraduate,Alone,35790,72,02-01-2013,54,11-08-2014,19.53333333,Has child,1 child,12,6,20,30,1,3,Leaky Bucket,Leaky Bucket
2225,37,Postgraduate,Alone,82582,1617,07-06-2014,54,11-08-2014,2.166666667,No child,No child,510,120,550,156,40,241,High Potential,High Potential
9381,36,Postgraduate,In couple,66373,606,12-06-2013,57,08-08-2014,14.06666667,Has child,2 children,328,9,124,12,24,109,High Potential,High Potential
6260,59,Postgraduate,In couple,82384,1957,19-11-2012,55,10-08-2014,20.96666667,No child,No child,984,51,432,180,120,190,Stars,Stars
10383,48,Postgraduate,Alone,70287,1093,02-04-2013,30,04-09-2014,17.33333333,No child,No child,295,35,482,121,120,40,Stars,Stars
7437,26,Postgraduate,Alone,27938,29,28-04-2014,31,03-09-2014,4.266666667,Has child,1 child,13,0,8,2,1,5,Need Attention,Need Attention
8375,46,Postgraduate,In couple,55954,518,03-03-2014,63,02-08-2014,5.066666667,Has child,1 child,447,0,28,0,0,43,High Potential,High Potential
6853,32,Postgraduate,Alone,75777,1438,04-07-2013,12,22-09-2014,14.83333333,No child,No child,712,26,538,69,13,80,Stars,Stars
3076,39,Postgraduate,In couple,66653,612,07-09-2012,18,16-09-2014,24.63333333,Has child,2 children,452,18,102,16,18,6,Stars,Stars
1012,62,Postgraduate,Alone,61823,884,18-02-2013,26,08-09-2014,18.9,Has child,1 child,523,7,134,37,14,169,Stars,Stars
6518,63,Postgraduate,Alone,67680,606,11-06-2013,8,26-09-2014,15.73333333,Has child,1 child,546,0,48,0,6,6,Stars,Stars
4137,66,Postgraduate,In couple,70666,1076,06-12-2013,29,05-09-2014,9.1,No child,No child,398,40,367,119,122,30,High Potential,High Potential
8082,43,Postgraduate,In couple,25721,34,21-05-2013,75,21-07-2014,14.2,Has child,1 child,1,3,6,3,6,15,Leaky Bucket,Leaky Bucket
1386,47,Postgraduate,In couple,32474,11,11-05-2014,0,04-10-2014,4.866666667,Has child,2 children,10,0,1,0,0,0,Need Attention,Need Attention
9369,35,Undergraduate,Alone,88194,1274,19-03-2014,19,15-09-2014,6,Has child,1 child,688,14,309,201,24,38,High Potential,High Potential
4477,56,Postgraduate,In couple,69096,653,27-09-2013,4,30-09-2014,12.26666667,Has child,1 child,247,49,159,7,82,109,High Potential,High Potential
1357,44,Postgraduate,In couple,74854,1562,08-04-2013,90,06-07-2014,15.13333333,Has child,3 children,856,59,487,58,29,73,Stars,Stars
1402,60,Postgraduate,In couple,66991,1253,11-09-2012,1,03-10-2014,25.06666667,No child,No child,496,36,460,189,60,12,Stars,Stars
6312,55,Postgraduate,In couple,65031,863,17-03-2013,29,05-09-2014,17.9,Has child,1 child,258,107,291,84,37,86,Stars,Stars
8132,39,Postgraduate,In couple,60631,661,05-04-2013,88,08-07-2014,15.3,Has child,2 children,565,6,65,0,6,19,Stars,Stars
1050,62,Postgraduate,In couple,28332,65,30-04-2014,58,07-08-2014,3.3,No child,No child,14,10,13,4,15,9,Need Attention,Need Attention
5846,37,Postgraduate,Alone,40246,13,19-12-2012,68,28-07-2014,19.53333333,Has child,1 child,2,1,6,2,1,1,Leaky Bucket,Leaky Bucket
1859,42,Postgraduate,In couple,75251,1890,27-08-2012,34,31-08-2014,24.46666667,No child,No child,721,111,925,97,18,18,Stars,Stars
7503,38,Postgraduate,Alone,75825,2209,12-10-2012,40,25-08-2014,22.73333333,No child,No child,1032,105,779,137,105,51,Stars,Stars
10401,38,Undergraduate,In couple,26326,18,04-09-2013,12,22-09-2014,12.76666667,No child,No child,1,0,5,0,3,9,Need Attention,Need Attention
1618,49,Postgraduate,In couple,56046,692,02-01-2013,9,25-09-2014,21.03333333,No child,No child,577,0,64,0,0,51,Stars,Stars
3332,29,Postgraduate,Alone,29760,165,29-08-2012,87,09-07-2014,22.63333333,Has child,1 child,64,4,68,7,5,17,Leaky Bucket,Leaky Bucket
2261,45,Postgraduate,In couple,26304,16,23-06-2013,5,29-09-2014,15.43333333,Has child,1 child,4,1,5,2,0,4,Leaky Bucket,Leaky Bucket
5346,41,Undergraduate,In couple,23559,79,03-07-2013,87,09-07-2014,12.36666667,Has child,1 child,25,5,19,7,0,23,Need Attention,Need Attention
4119,51,Postgraduate,In couple,38620,318,11-05-2013,56,09-08-2014,15.16666667,No child,No child,112,17,44,34,22,89,Leaky Bucket,Leaky Bucket
535,27,Postgraduate,Alone,81361,778,25-02-2014,18,16-09-2014,6.766666667,No child,No child,163,23,424,27,65,76,High Potential,High Potential
5268,54,Postgraduate,In couple,29440,56,11-08-2013,95,01-07-2014,10.8,Has child,2 children,17,8,14,10,4,3,Need Attention,Need Attention
273,44,Postgraduate,In couple,36138,151,16-07-2013,48,17-08-2014,13.23333333,Has child,2 children,130,0,16,0,0,5,Need Attention,Need Attention
4452,57,Postgraduate,Alone,50388,372,28-05-2014,3,01-10-2014,4.2,Has child,1 child,292,6,37,0,3,34,Need Attention,Need Attention
8504,41,Postgraduate,In couple,79593,1366,12-05-2014,70,26-07-2014,2.5,No child,No child,350,60,568,110,133,145,High Potential,High Potential
771,47,Postgraduate,In couple,54178,194,21-01-2014,79,17-07-2014,5.9,Has child,1 child,135,9,39,4,0,7,Need Attention,Need Attention
11178,42,Postgraduate,Alone,42394,32,23-03-2014,69,27-07-2014,4.2,Has child,1 child,15,2,10,0,1,4,Need Attention,Need Attention
2230,44,Postgraduate,In couple,23626,43,24-05-2014,84,12-07-2014,1.633333333,Has child,1 child,27,2,14,0,0,0,Need Attention,Need Attention
7516,31,Postgraduate,In couple,30096,45,22-05-2014,30,04-09-2014,3.5,Has child,1 child,5,3,11,12,5,9,Need Attention,Need Attention
7247,54,Postgraduate,Alone,47916,606,22-11-2012,72,24-07-2014,20.3,Has child,1 child,505,0,26,0,0,75,Leaky Bucket,Leaky Bucket
11100,42,Postgraduate,Alone,51813,63,11-04-2013,37,28-08-2014,16.8,Has child,2 children,51,2,7,0,1,2,Leaky Bucket,Leaky Bucket
4646,63,Undergraduate,In couple,78497,978,01-12-2013,44,21-08-2014,8.766666667,No child,No child,207,26,447,75,0,223,High Potential,High Potential
3037,31,Postgraduate,In couple,50150,410,20-06-2013,32,02-09-2014,14.63333333,No child,No child,135,46,92,65,61,11,Leaky Bucket,Leaky Bucket
1473,54,Undergraduate,Alone,47823,72,23-07-2013,0,04-10-2014,14.6,Has child,1 child,53,1,5,2,1,10,Leaky Bucket,Leaky Bucket
1016,55,Postgraduate,Alone,34554,55,30-03-2014,43,22-08-2014,4.833333333,Has child,1 child,41,1,6,2,0,5,Need Attention,Need Attention
4518,35,Postgraduate,In couple,85693,1169,20-04-2013,59,06-08-2014,15.76666667,Has child,1 child,386,172,183,185,132,111,Stars,Stars
9370,69,Postgraduate,In couple,65846,1120,17-05-2013,68,28-07-2014,14.56666667,No child,No child,562,81,276,80,40,81,Stars,Stars
8908,55,Postgraduate,In couple,87195,1097,08-05-2014,35,30-08-2014,3.8,No child,No child,217,76,690,50,26,38,High Potential,High Potential
8373,35,Undergraduate,In couple,24594,29,10-12-2013,94,02-07-2014,6.8,Has child,1 child,1,3,6,10,0,9,Need Attention,Need Attention
7533,50,Postgraduate,In couple,49096,187,24-09-2013,15,19-09-2014,12,Has child,2 children,144,1,32,2,1,7,Need Attention,Need Attention
2683,45,Postgraduate,In couple,52413,910,02-02-2013,56,09-08-2014,18.43333333,Has child,2 children,295,106,271,75,98,65,Stars,Stars
3629,36,Postgraduate,Alone,38557,145,19-12-2012,17,17-09-2014,21.23333333,Has child,1 child,76,3,31,4,4,27,Leaky Bucket,Leaky Bucket
10991,54,Postgraduate,In couple,89058,850,07-12-2012,18,16-09-2014,21.6,No child,No child,454,194,106,31,22,43,Stars,Stars
5077,35,Postgraduate,In couple,77298,969,02-11-2013,46,19-08-2014,9.666666667,Has child,1 child,425,115,292,23,35,79,High Potential,High Potential
7431,23,Postgraduate,Alone,68126,1820,10-11-2012,40,25-08-2014,21.76666667,No child,No child,1332,17,311,23,51,86,Stars,Stars
3267,51,Postgraduate,In couple,57288,608,25-06-2014,27,07-09-2014,2.466666667,Has child,1 child,527,0,21,0,0,60,High Potential,High Potential
999,23,Postgraduate,Alone,86037,730,02-01-2013,95,01-07-2014,18.16666667,No child,No child,490,44,125,29,20,22,Stars,Stars
9215,34,Postgraduate,In couple,43974,551,12-12-2012,19,15-09-2014,21.4,Has child,1 child,378,0,101,0,0,72,Leaky Bucket,Leaky Bucket
2286,52,Postgraduate,Alone,50785,114,10-09-2013,27,07-09-2014,12.06666667,Has child,2 children,64,1,21,0,1,27,Need Attention,Need Attention
1592,44,Postgraduate,In couple,90765,1724,24-01-2014,25,09-09-2014,7.6,No child,No child,547,99,812,151,82,33,High Potential,High Potential
367,36,Undergraduate,In couple,36550,577,19-02-2013,74,22-07-2014,17.26666667,Has child,1 child,47,90,94,123,103,120,Leaky Bucket,Leaky Bucket
5234,47,Undergraduate,In couple,30753,81,11-07-2013,85,11-07-2014,12.16666667,Has child,2 children,12,5,25,0,9,30,Need Attention,Need Attention
9862,45,Postgraduate,In couple,21918,33,14-11-2013,37,28-08-2014,9.566666667,Has child,1 child,1,6,7,11,5,3,Need Attention,Need Attention
9805,61,Postgraduate,In couple,56129,660,20-06-2013,65,31-07-2014,13.53333333,Has child,1 child,320,48,133,39,72,48,Stars,Stars
6205,47,Postgraduate,Alone,32557,80,24-02-2014,13,21-09-2014,6.966666667,Has child,1 child,34,3,29,0,4,10,Need Attention,Need Attention
8442,29,Postgraduate,In couple,19510,30,04-09-2013,63,02-08-2014,11.06666667,Has child,2 children,9,0,7,3,4,7,Need Attention,Need Attention
7386,38,Postgraduate,Alone,30992,43,22-04-2013,83,13-07-2014,14.9,Has child,1 child,17,0,14,7,3,2,Leaky Bucket,Leaky Bucket
7215,31,Postgraduate,Alone,101970,1135,12-03-2013,69,27-07-2014,16.73333333,No child,No child,722,27,102,44,72,168,Stars,Stars
1491,49,Undergraduate,In couple,71488,559,18-02-2013,87,09-07-2014,16.86666667,No child,No child,162,33,124,40,28,172,Stars,Stars
11071,30,Postgraduate,Alone,79607,1923,21-04-2013,37,28-08-2014,16.46666667,No child,No child,450,133,951,173,0,216,Stars,Stars
3381,61,Postgraduate,In couple,54348,90,08-06-2014,51,14-08-2014,2.233333333,Has child,2 children,70,0,16,0,0,4,Need Attention,Need Attention
11051,58,Postgraduate,In couple,77376,661,10-05-2014,72,24-07-2014,2.5,Has child,2 children,492,19,110,16,12,12,High Potential,High Potential
8026,62,Postgraduate,In couple,62998,463,30-09-2013,10,24-09-2014,11.96666667,Has child,1 child,120,58,73,65,89,58,High Potential,High Potential
433,56,Postgraduate,Alone,61331,632,10-03-2013,42,23-08-2014,17.7,Has child,2 children,534,5,47,0,5,41,Stars,Stars
9597,45,Postgraduate,In couple,73448,725,10-02-2014,10,24-09-2014,7.533333333,No child,No child,236,106,189,23,41,130,High Potential,High Potential
5290,50,Postgraduate,In couple,41551,279,14-08-2013,51,14-08-2014,12.16666667,Has child,2 children,220,0,33,3,0,23,Need Attention,Need Attention
1685,47,Postgraduate,In couple,62981,1482,17-03-2013,21,13-09-2014,18.16666667,No child,No child,796,14,590,38,44,0,Stars,Stars
5342,38,Undergraduate,Alone,9548,29,08-08-2012,31,03-09-2014,25.2,Has child,1 child,0,1,3,10,6,9,Leaky Bucket,Leaky Bucket
9579,55,Postgraduate,In couple,33762,106,07-07-2013,61,04-08-2014,13.1,Has child,3 children,53,1,34,2,0,16,Need Attention,Need Attention
7660,41,Postgraduate,Alone,35860,49,19-05-2014,37,28-08-2014,3.366666667,Has child,2 children,15,0,8,4,2,20,Need Attention,Need Attention
1461,49,Postgraduate,Alone,36921,38,28-07-2013,74,22-07-2014,11.96666667,Has child,2 children,17,1,12,3,1,4,Need Attention,Need Attention
821,22,Postgraduate,Alone,92859,2077,19-10-2012,46,19-08-2014,22.3,No child,No child,962,61,921,52,61,20,Stars,Stars
11084,38,Postgraduate,In couple,65104,1053,14-11-2013,4,30-09-2014,10.66666667,Has child,1 child,738,0,232,13,20,50,High Potential,High Potential
8690,52,Postgraduate,In couple,86111,1385,19-04-2013,73,23-07-2014,15.33333333,No child,No child,399,28,756,36,40,126,Stars,Stars
2937,40,Postgraduate,Alone,68352,871,28-08-2013,47,18-08-2014,11.83333333,Has child,1 child,614,16,132,43,33,33,High Potential,High Potential
9701,26,Postgraduate,In couple,41883,312,19-03-2013,13,21-09-2014,18.36666667,Has child,1 child,32,34,41,73,16,116,Leaky Bucket,Leaky Bucket
9949,38,Postgraduate,In couple,59809,877,18-10-2012,36,29-08-2014,22.66666667,Has child,2 children,598,16,141,32,41,49,Stars,Stars
10837,39,Postgraduate,In couple,23957,68,28-10-2012,47,18-08-2014,21.96666667,Has child,1 child,2,1,18,20,11,16,Leaky Bucket,Leaky Bucket
3120,33,Postgraduate,In couple,38547,22,28-08-2013,49,16-08-2014,11.76666667,Has child,1 child,6,1,10,0,1,4,Need Attention,Need Attention
5885,41,Undergraduate,In couple,35688,211,22-08-2012,94,02-07-2014,22.63333333,Has child,3 children,73,3,90,12,1,32,Leaky Bucket,Leaky Bucket
4050,48,Postgraduate,In couple,49605,127,21-06-2014,65,31-07-2014,1.333333333,No child,No child,42,16,29,12,20,8,Need Attention,Need Attention
3830,61,Postgraduate,In couple,59354,459,24-04-2014,59,06-08-2014,3.466666667,Has child,2 children,295,21,78,39,13,13,High Potential,High Potential
7987,45,Postgraduate,In couple,65747,460,07-03-2014,96,30-06-2014,3.833333333,Has child,1 child,346,17,48,23,13,13,High Potential,High Potential
7798,42,Undergraduate,In couple,46344,429,14-12-2012,28,06-09-2014,21.03333333,Has child,1 child,233,20,57,8,20,91,Leaky Bucket,Leaky Bucket
92,26,Postgraduate,Alone,34176,89,12-05-2014,12,22-09-2014,4.433333333,Has child,1 child,5,7,24,19,14,20,Need Attention,Need Attention
7055,62,Postgraduate,In couple,61010,1021,09-10-2012,57,08-08-2014,22.26666667,Has child,1 child,888,0,57,0,0,76,Stars,Stars
10240,65,Postgraduate,In couple,69372,1381,19-02-2013,10,24-09-2014,19.4,No child,No child,997,26,269,34,13,42,Stars,Stars
3025,56,Postgraduate,Alone,49967,306,08-07-2013,4,30-09-2014,14.96666667,Has child,1 child,212,6,69,4,12,3,Leaky Bucket,Leaky Bucket
9283,36,Postgraduate,Alone,60199,18,12-09-2013,49,16-08-2014,11.26666667,Has child,3 children,8,1,7,2,0,0,Need Attention,Need Attention
9970,37,Postgraduate,In couple,55375,162,17-10-2013,3,01-10-2014,11.63333333,Has child,1 child,42,11,57,10,28,14,Need Attention,Need Attention
2730,59,Postgraduate,Alone,80317,1231,20-08-2013,64,01-08-2014,11.53333333,No child,No child,536,11,387,149,91,57,High Potential,High Potential
2795,56,Postgraduate,Alone,30523,13,01-07-2013,0,04-10-2014,15.33333333,Has child,3 children,5,0,3,0,0,5,Leaky Bucket,Leaky Bucket
9260,69,Postgraduate,In couple,70356,1706,05-11-2012,20,14-09-2014,22.6,No child,No child,1349,16,249,43,16,33,Stars,Stars
8182,30,Postgraduate,In couple,23228,121,05-01-2014,91,05-07-2014,6.033333333,Has child,1 child,53,3,49,7,4,5,Need Attention,Need Attention
10095,39,Postgraduate,Alone,74165,1293,01-05-2013,9,25-09-2014,17.06666667,No child,No child,1001,12,240,16,12,12,Stars,Stars
8475,41,Postgraduate,In couple,157243,1608,01-03-2014,98,28-06-2014,3.966666667,Has child,1 child,20,2,1582,1,2,1,High Potential,High Potential
4370,48,Postgraduate,In couple,43482,88,13-11-2013,83,13-07-2014,8.066666667,Has child,3 children,18,1,32,6,3,28,Need Attention,Need Attention
10573,61,Postgraduate,Alone,62551,421,18-11-2013,27,07-09-2014,9.766666667,No child,No child,125,16,98,134,21,27,High Potential,High Potential
3712,55,Postgraduate,Alone,52332,259,28-08-2013,63,02-08-2014,11.3,No child,No child,212,5,33,7,0,2,Need Attention,Need Attention
6637,26,Postgraduate,Alone,66951,1117,02-11-2013,46,19-08-2014,9.666666667,No child,No child,277,162,305,173,76,124,High Potential,High Potential
3152,57,Postgraduate,In couple,26091,89,25-02-2014,84,12-07-2014,4.566666667,Has child,2 children,15,10,19,8,17,20,Need Attention,Need Attention
5610,49,Postgraduate,In couple,33456,36,21-04-2014,58,07-08-2014,3.6,Has child,2 children,7,3,10,8,1,7,Need Attention,Need Attention
6460,32,Postgraduate,In couple,28718,57,13-07-2013,78,18-07-2014,12.33333333,Has child,1 child,12,4,6,11,8,16,Need Attention,Need Attention
1349,44,Postgraduate,In couple,50447,148,21-04-2014,4,30-09-2014,5.4,Has child,2 children,85,7,24,2,3,27,Need Attention,Need Attention
1880,55,Postgraduate,In couple,53537,93,30-01-2014,17,17-09-2014,7.666666667,Has child,2 children,81,0,6,0,0,6,Need Attention,Need Attention
641,47,Postgraduate,Alone,52074,119,04-04-2014,77,19-07-2014,3.533333333,Has child,1 child,59,0,12,0,0,48,Need Attention,Need Attention
8717,39,Postgraduate,In couple,80427,1835,12-09-2012,56,09-08-2014,23.2,Has child,1 child,1149,71,449,69,71,26,Stars,Stars
10314,66,Postgraduate,In couple,83837,1318,16-12-2012,79,17-07-2014,19.26666667,No child,No child,847,66,119,86,89,111,Stars,Stars
10854,44,Postgraduate,In couple,38853,45,23-05-2014,90,06-07-2014,1.466666667,Has child,2 children,29,0,14,0,0,2,Need Attention,Need Attention
10492,55,Postgraduate,In couple,38285,10,24-06-2014,96,30-06-2014,0.2,Has child,3 children,2,0,5,2,0,1,Need Attention,Need Attention
6935,63,Undergraduate,In couple,78497,978,01-12-2013,44,21-08-2014,8.766666667,No child,No child,207,26,447,75,0,223,High Potential,High Potential
7698,38,Postgraduate,In couple,51650,191,11-05-2014,81,15-07-2014,2.166666667,Has child,1 child,152,3,22,2,5,7,Need Attention,Need Attention
3559,26,Undergraduate,In couple,16248,57,10-05-2014,77,19-07-2014,2.333333333,Has child,1 child,12,11,10,3,12,9,Need Attention,Need Attention
10562,68,Postgraduate,In couple,66835,1033,28-09-2013,21,13-09-2014,11.66666667,No child,No child,620,26,195,34,17,141,High Potential,High Potential
10796,30,Postgraduate,In couple,30477,66,22-01-2014,16,18-09-2014,7.966666667,Has child,1 child,47,1,6,0,0,12,Need Attention,Need Attention
2563,53,Undergraduate,In couple,28249,43,15-06-2014,80,16-07-2014,1.033333333,No child,No child,1,9,7,2,14,10,Need Attention,Need Attention
3518,31,Postgraduate,In couple,25271,50,05-12-2012,45,20-08-2014,20.76666667,Has child,1 child,10,1,18,10,4,7,Leaky Bucket,Leaky Bucket
5823,44,Postgraduate,Alone,32303,39,08-03-2014,63,02-08-2014,4.9,Has child,1 child,35,0,2,0,0,2,Need Attention,Need Attention
3934,48,Postgraduate,In couple,61286,608,02-08-2013,34,31-08-2014,13.13333333,Has child,1 child,356,0,107,19,9,117,High Potential,High Potential
6982,38,Postgraduate,In couple,74068,1581,19-03-2013,14,20-09-2014,18.33333333,No child,No child,783,30,537,140,76,15,Stars,Stars
6431,50,Postgraduate,In couple,45759,68,23-02-2013,13,21-09-2014,19.16666667,Has child,2 children,42,1,18,3,0,4,Leaky Bucket,Leaky Bucket
9733,36,Undergraduate,In couple,24882,80,09-09-2012,52,13-08-2014,23.43333333,Has child,1 child,1,4,10,29,0,36,Leaky Bucket,Leaky Bucket
5602,25,Postgraduate,In couple,66973,1282,17-05-2013,98,28-06-2014,13.56666667,No child,No child,466,22,432,147,113,102,Stars,Stars
7829,114,Undergraduate,Alone,36640,65,26-09-2013,99,27-06-2014,9.133333333,Has child,1 child,15,6,8,7,4,25,Need Attention,Need Attention
1324,26,Postgraduate,In couple,38872,91,30-05-2013,93,03-07-2014,13.3,Has child,1 child,23,3,21,3,19,22,Need Attention,Need Attention
326,41,Postgraduate,In couple,51148,315,18-02-2013,38,27-08-2014,18.5,Has child,2 children,235,6,45,8,9,12,Leaky Bucket,Leaky Bucket
7224,37,Postgraduate,In couple,31353,31,29-12-2013,24,10-09-2014,8.5,Has child,2 children,10,0,10,3,1,7,Need Attention,Need Attention
6999,34,Postgraduate,In couple,69661,834,13-05-2014,80,16-07-2014,2.133333333,No child,No child,656,16,106,32,16,8,High Potential,High Potential
